dupl,new
1.0,1997638.0
2.0,1997639.0
3.0,1997640.0
4.0,1997641.0
5.0,1997642.0
6.0,1997643.0
7.0,1997644.0
8.0,1997645.0
9.0,1997646.0
10.0,1997647.0
11.0,1997648.0
12.0,1997649.0
13.0,1997650.0
14.0,1997651.0
15.0,1997652.0
16.0,1997653.0
17.0,1997654.0
18.0,1997655.0
19.0,1997656.0
20.0,1997657.0
21.0,1997658.0
22.0,1997659.0
23.0,1997660.0
24.0,1997661.0
25.0,1997662.0
26.0,1997663.0
27.0,1997664.0
28.0,1997665.0
29.0,1997666.0
30.0,1997667.0
31.0,1997668.0
32.0,1997669.0
33.0,1997670.0
34.0,1997671.0
35.0,1997672.0
36.0,1997673.0
37.0,1997674.0
38.0,1997675.0
39.0,1997676.0
40.0,1997677.0
41.0,1997678.0
42.0,1997679.0
43.0,1997680.0
44.0,1997681.0
45.0,1997682.0
46.0,1997683.0
47.0,1997684.0
48.0,1997685.0
49.0,1997686.0
50.0,1997687.0
51.0,1997688.0
52.0,1997689.0
53.0,1997690.0
54.0,1997691.0
55.0,1997692.0
56.0,1997693.0
57.0,1997694.0
58.0,1997695.0
59.0,1997696.0
60.0,1997697.0
61.0,1997698.0
62.0,1997699.0
63.0,1997700.0
64.0,1997701.0
65.0,1997702.0
66.0,1997703.0
67.0,1997704.0
68.0,1997705.0
69.0,1997706.0
70.0,1997707.0
71.0,1997708.0
72.0,1997709.0
73.0,1997710.0
74.0,1997711.0
75.0,1997712.0
76.0,1997713.0
77.0,1997714.0
78.0,1997715.0
79.0,1997716.0
80.0,1997717.0
81.0,1997718.0
82.0,1997719.0
83.0,1997720.0
84.0,1997721.0
85.0,1997722.0
86.0,1997723.0
87.0,1997724.0
88.0,1997725.0
89.0,1997726.0
90.0,1997727.0
91.0,1997728.0
92.0,1997729.0
93.0,1997730.0
94.0,1997731.0
95.0,1997732.0
96.0,1997733.0
97.0,1997734.0
98.0,1997735.0
99.0,1997736.0
100.0,1997737.0
101.0,1997738.0
102.0,1997739.0
103.0,1997740.0
104.0,1997741.0
105.0,1997742.0
106.0,1997743.0
107.0,1997744.0
108.0,1997745.0
109.0,1997746.0
110.0,1997747.0
111.0,1997748.0
112.0,1997749.0
113.0,1997750.0
114.0,1997751.0
115.0,1997752.0
116.0,1997753.0
117.0,1997754.0
118.0,1997755.0
119.0,1997756.0
120.0,1997757.0
121.0,1997758.0
122.0,1997759.0
123.0,1997760.0
